scenario_id,length,has_crash,noise_sigma,baseline_low,drift_min,drift_max,crash_start,ground_truth_crashed,threshold_alert_time,aump_alert_time@0.5,lead_time@0.5,false_alarm@0.5,aump_alert_time@0.6,lead_time@0.6,false_alarm@0.6,aump_alert_time@0.7,lead_time@0.7,false_alarm@0.7,aump_alert_time@0.8,lead_time@0.8,false_alarm@0.8,aump_alert_time@0.9,lead_time@0.9,false_alarm@0.9
157,30,True,1.0,70,0.36118753411331733,2.705761248402167,11,True,15.0,14.0,1.0,False,15.0,0.0,False,15.0,0.0,False,15.0,0.0,False,16.0,-1.0,False
158,30,True,2.0,75,0.6252275278376859,2.7310174581801583,17,True,27.0,22.0,5.0,False,24.0,3.0,False,26.0,1.0,False,27.0,0.0,False,27.0,0.0,False
159,30,True,1.5,75,0.3157906572147078,1.7860877638026706,11,True,28.0,25.0,3.0,False,25.0,3.0,False,27.0,1.0,False,28.0,0.0,False,29.0,-1.0,False
160,30,False,2.5,75,0.7767478141891428,2.0832947938894186,-1,False,,,,False,,,False,,,False,,,False,,,False
161,30,True,2.5,75,0.7673442021121001,1.8321342850535527,15,True,12.0,3.0,9.0,False,5.0,7.0,False,11.0,1.0,False,11.0,1.0,False,21.0,-9.0,False
162,30,True,2.0,65,0.6952146790368664,1.7629180010457963,10,True,15.0,11.0,4.0,False,11.0,4.0,False,15.0,0.0,False,15.0,0.0,False,19.0,-4.0,False
163,30,True,1.5,75,0.3088007331260724,1.8306643219325638,15,False,,,,False,,,False,,,False,,,False,,,False
164,30,True,1.0,75,0.47968117382400416,1.8487517650041871,19,False,,,,False,,,False,,,False,,,False,,,False
165,30,True,1.5,70,0.42637151267741474,1.549478204850582,19,False,,28.0,,True,28.0,,True,,,False,,,False,,,False
166,30,True,2.0,70,0.6749624570525805,1.873038018255306,13,False,,,,False,,,False,,,False,,,False,,,False
167,30,False,1.0,65,0.46481817130604736,2.533340958788084,-1,False,,12.0,,True,12.0,,True,,,False,,,False,,,False
168,30,True,1.0,65,0.5222636847152363,2.521665603588778,14,True,21.0,17.0,4.0,False,20.0,1.0,False,20.0,1.0,False,20.0,1.0,False,21.0,0.0,False
169,30,False,2.5,70,0.3446827018808051,2.204363977842022,-1,True,5.0,4.0,1.0,False,4.0,1.0,False,5.0,0.0,False,5.0,0.0,False,,,False
170,30,True,1.5,75,0.5104065216784222,1.5650871839463674,15,False,,27.0,,True,27.0,,True,27.0,,True,28.0,,True,,,False
171,30,False,2.5,75,0.6041716422127485,2.5246815125216644,-1,False,,16.0,,True,16.0,,True,20.0,,True,,,False,,,False
172,30,False,2.0,75,0.3622425961123533,1.9631162942761018,-1,False,,,,False,,,False,,,False,,,False,,,False
173,30,True,2.0,70,0.7813096278293383,2.7367174475588385,12,True,8.0,5.0,3.0,False,5.0,3.0,False,6.0,2.0,False,13.0,-5.0,False,13.0,-5.0,False
174,30,True,1.0,65,0.4727405692531588,2.802581087252081,12,True,18.0,15.0,3.0,False,15.0,3.0,False,16.0,2.0,False,18.0,0.0,False,20.0,-2.0,False
175,30,True,1.0,70,0.4447760507512545,1.7786063929722666,18,True,24.0,22.0,2.0,False,22.0,2.0,False,23.0,1.0,False,24.0,0.0,False,29.0,-5.0,False
176,30,True,2.5,75,0.4732137572541952,2.557354712529102,16,False,,,,False,,,False,,,False,,,False,,,False
177,30,True,1.0,65,0.6147537404718592,1.6025778337238665,10,True,18.0,12.0,6.0,False,17.0,1.0,False,17.0,1.0,False,22.0,-4.0,False,23.0,-5.0,False
178,30,False,1.5,75,0.7415877229326425,2.890625256698374,-1,False,,,,False,,,False,,,False,,,False,,,False
179,30,True,1.5,70,0.4884848639936804,2.1944673468571185,14,True,24.0,20.0,4.0,False,20.0,4.0,False,21.0,3.0,False,25.0,-1.0,False,25.0,-1.0,False
180,30,True,1.5,70,0.3604007549700586,2.691679277287321,20,True,12.0,7.0,5.0,False,7.0,5.0,False,11.0,1.0,False,12.0,0.0,False,25.0,-13.0,False
181,30,True,1.0,65,0.43465278667871937,2.2228184283036514,21,True,24.0,13.0,11.0,False,23.0,1.0,False,24.0,0.0,False,24.0,0.0,False,,,False
182,30,True,1.0,75,0.7733530416544316,2.8303349666814466,20,True,29.0,26.0,3.0,False,26.0,3.0,False,28.0,1.0,False,28.0,1.0,False,,,False
183,30,True,2.0,65,0.42745784593842345,1.510417861884751,13,True,27.0,7.0,20.0,False,16.0,11.0,False,27.0,0.0,False,27.0,0.0,False,,,False
184,30,True,2.5,75,0.41424263306207804,2.958249872562203,16,True,24.0,23.0,1.0,False,23.0,1.0,False,23.0,1.0,False,24.0,0.0,False,24.0,0.0,False
185,30,False,2.0,70,0.7548889018313336,1.8799565437497912,-1,False,,4.0,,True,,,False,,,False,,,False,,,False
186,30,True,1.5,65,0.5345510708813819,1.675748421284497,20,False,,29.0,,True,,,False,,,False,,,False,,,False
187,30,True,2.0,70,0.3543781849523264,1.847880116558121,20,True,29.0,22.0,7.0,False,23.0,6.0,False,23.0,6.0,False,,,False,,,False
188,30,False,1.0,70,0.6907112980446328,1.5084099150884522,-1,False,,,,False,,,False,,,False,,,False,,,False
